ZANNOU DJIMON MARCEL,FOURCADE CAMILLE,{'weight': 3.0}
ZANNOU DJIMON MARCEL,WANDELER GILLES,{'weight': 1.0}
ZANNOU DJIMON MARCEL,AFANGNIHOUN ALDRIC,{'weight': 4.0}
ZANNOU DJIMON MARCEL,DOSSOUGBETE LUCIEN,{'weight': 3.0}
ZANNOU DJIMON MARCEL,GUEDOU FERNAND A,{'weight': 2.0}
ZANNOU DJIMON MARCEL,COT MICHEL,{'weight': 6.0}
ZANNOU DJIMON MARCEL,POUDRIER JOHANNE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,CENTER ROBERT J,{'weight': 1.0}
ZANNOU DJIMON MARCEL,MAIGA MOUSSA Y,{'weight': 1.0}
ZANNOU DJIMON MARCEL,BAGOMIS FRANCK OLIVIER,{'weight': 2.0}
ZANNOU DJIMON MARCEL,AKINOCHO EVELYNE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,BRIAND VALERIE,{'weight': 2.0}
ZANNOU DJIMON MARCEL,AGOSSOU VIDEHOUENOU K,{'weight': 2.0}
ZANNOU DJIMON MARCEL,AZON D,{'weight': 1.0}
ZANNOU DJIMON MARCEL,KOMONGUI DIDIER G,{'weight': 2.0}
ZANNOU DJIMON MARCEL,ALLOU GERARD,{'weight': 2.0}
ZANNOU DJIMON MARCEL,PARSONS MATTHEW S,{'weight': 1.0}
ZANNOU DJIMON MARCEL,LACOMBE KARINE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,BITERA RAPHAEL,{'weight': 3.0}
ZANNOU DJIMON MARCEL,KPATCHAVI ADOLPHE,{'weight': 2.0}
ZANNOU DJIMON MARCEL,ROULEAU DANIELLE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,GOUGOUNON ALICE,{'weight': 2.0}
ZANNOU DJIMON MARCEL,AKONDE ALAIN,{'weight': 2.0}
ZANNOU DJIMON MARCEL,AHOUSSINOU CLEMENT,{'weight': 4.0}
ZANNOU DJIMON MARCEL,KENT STEPHEN J,{'weight': 1.0}
ZANNOU DJIMON MARCEL,THIEBAUT RODOLPHE,{'weight': 2.0}
ZANNOU DJIMON MARCEL,BWANA MWEBESA BOSCO,{'weight': 1.0}
ZANNOU DJIMON MARCEL,NASH DENIS,{'weight': 1.0}
ZANNOU DJIMON MARCEL,MOORE RICHARD D,{'weight': 1.0}
ZANNOU DJIMON MARCEL,WOOD ROBIN,{'weight': 1.0}
ZANNOU DJIMON MARCEL,WACHINOU ABLO PRUDENCE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,ALTHOFF KERI N,{'weight': 1.0}
ZANNOU DJIMON MARCEL,LIM POH LIAN,{'weight': 1.0}
ZANNOU DJIMON MARCEL,NACHEGA JEAN B,{'weight': 1.0}
ZANNOU DJIMON MARCEL,LA RUCHE GUY,{'weight': 1.0}
ZANNOU DJIMON MARCEL,EASTERBROOK PHILIPPA J,{'weight': 1.0}
ZANNOU DJIMON MARCEL,KAMBUGU ANDREW,{'weight': 1.0}
ZANNOU DJIMON MARCEL,LITTLE FRANCESCA,{'weight': 1.0}
ZANNOU DJIMON MARCEL,NAKIGOZI GERTRUDE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,NAKANJAKO DAMALIE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,KIGGUNDU VALERIAN,{'weight': 1.0}
ZANNOU DJIMON MARCEL,LI PATRICK CHUNG KI,{'weight': 1.0}
ZANNOU DJIMON MARCEL,BANGSBERG DAVID R,{'weight': 1.0}
ZANNOU DJIMON MARCEL,FOX MATTHEW P,{'weight': 1.0}
ZANNOU DJIMON MARCEL,PROZESKY HANS W,{'weight': 1.0}
ZANNOU DJIMON MARCEL,DRABO YOUSSOUFOU J,{'weight': 1.0}
ZANNOU DJIMON MARCEL,REYNOLDS STEVEN J,{'weight': 2.0}
ZANNOU DJIMON MARCEL,MINTA DAOUDA K,{'weight': 1.0}
ZANNOU DJIMON MARCEL,EGGER MATTHIAS,{'weight': 2.0}
ZANNOU DJIMON MARCEL,LAJOIE JULIE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,YIANNOUTSOS CONSTANTIN T,{'weight': 1.0}
ZANNOU DJIMON MARCEL,JAQUET ANTOINE,{'weight': 4.0}
ZANNOU DJIMON MARCEL,ODUTOLA MICHAEL,{'weight': 1.0}
ZANNOU DJIMON MARCEL,DALMEIDA MARCELLINE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,ALAO MAROUF J,{'weight': 1.0}
ZANNOU DJIMON MARCEL,TANON ARISTOPHANE,{'weight': 2.0}
ZANNOU DJIMON MARCEL,OGA EMMANUEL,{'weight': 1.0}
ZANNOU DJIMON MARCEL,CHARURAT MANHATTAN,{'weight': 1.0}
ZANNOU DJIMON MARCEL,EHOLIE SERGE PAUL,{'weight': 3.0}
ZANNOU DJIMON MARCEL,EHOLIE SERGE PAUL,{'weight': 5.0}
ZANNOU DJIMON MARCEL,SASCO ANNIE J,{'weight': 4.0}
ZANNOU DJIMON MARCEL,BISSAGNENE EMMANUEL,{'weight': 7.0}
ZANNOU DJIMON MARCEL,ADEBAMOWO CLEMENT,{'weight': 1.0}
ZANNOU DJIMON MARCEL,BERNARD NICOLE F,{'weight': 1.0}
ZANNOU DJIMON MARCEL,PORCHER RAPHAEL,{'weight': 1.0}
ZANNOU DJIMON MARCEL,NDAM NICAISE TUIKUE,{'weight': 2.0}
ZANNOU DJIMON MARCEL,KINTIN FREDERIC,{'weight': 1.0}
ZANNOU DJIMON MARCEL,KONATE ISSOUF,{'weight': 1.0}
ZANNOU DJIMON MARCEL,OGOUYEMIHOUNTO AURORE,{'weight': 2.0}
ZANNOU DJIMON MARCEL,FOURN LEONARD,{'weight': 1.0}
ZANNOU DJIMON MARCEL,ROGER MICHEL,{'weight': 1.0}
ZANNOU DJIMON MARCEL,TOUNKARA FATOUMATA K,{'weight': 2.0}
ZANNOU DJIMON MARCEL,KINTIN F D,{'weight': 1.0}
ZANNOU DJIMON MARCEL,AVERY L,{'weight': 1.0}
ZANNOU DJIMON MARCEL,CAMDEN S,{'weight': 1.0}
ZANNOU DJIMON MARCEL,BEHANZIN LUC,{'weight': 5.0}
ZANNOU DJIMON MARCEL,NDOUR MARGUERITE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,MINANI ISAAC,{'weight': 6.0}
ZANNOU DJIMON MARCEL,ABO YAO,{'weight': 1.0}
ZANNOU DJIMON MARCEL,MESSOU EUGENE,{'weight': 4.0}
ZANNOU DJIMON MARCEL,WAINBERG MARK A,{'weight': 1.0}
ZANNOU DJIMON MARCEL,KOUAKOU MARTIAL,{'weight': 1.0}
ZANNOU DJIMON MARCEL,DE REKENEIRE NATHALIE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,GRANT MICHAEL D,{'weight': 1.0}
